Date,SANDP,FORD,GE,MICROSOFT,ORACLE,USTB3M
Aug-10,1049.719971,11.29,14.48,23.469999,21.84,0.16
Sep-10,1143.48999,12.24,16.25,24.49,26.85,0.15
Oct-10,1185.709961,14.13,16.02,26.67,29.379999,0.13
Nov-10,1186.599976,15.94,15.83,25.26,27.049999,0.14
Dec-10,1257.619995,16.790001,18.290001,27.91,31.299999,0.14
Jan-11,1289.140015,15.95,20.139999,27.73,32.029999,0.15
Feb-11,1328.640015,15.05,20.92,26.58,32.900002,0.13
Mar-11,1329.47998,14.91,20.049999,25.389999,33.43,0.10
Apr-11,1365.209961,15.47,20.450001,25.92,35.959999,0.06
May-11,1345.199951,14.92,19.639999,25.01,34.220001,0.04
Jun-11,1320.640015,13.79,18.860001,26,32.91,0.04
Jul-11,1292.589966,12.21,17.91,27.4,30.58,0.04
Aug-11,1219.119995,11.12,16.309999,26.6,28.07,0.02
Sep-11,1131.209961,9.67,15.22,24.889999,28.74,0.01
Oct-11,1251,11.68,16.709999,26.629999,32.77,0.02
Nov-11,1246.910034,10.6,15.91,25.58,31.35,0.01
Dec-11,1258.859985,10.76,17.91,25.959999,25.65,0.01
Jan-12,1312.449951,12.42,18.709999,29.530001,28.209999,0.03
Feb-12,1365.900024,12.38,19.049999,31.74,29.25,0.09
Mar-12,1408.469971,12.48,20.07,32.259998,29.16,0.08
Apr-12,1397.859985,11.28,19.58,32.02,29.4,0.08
May-12,1309.869995,10.56,19.09,29.190001,26.469999,0.09
Jun-12,1362.329956,9.59,20.84,30.59,29.700001,0.09
Jul-12,1379.319946,9.24,20.75,29.469999,30.200001,0.10
Aug-12,1406.540039,9.34,20.709999,30.82,31.65,0.10
Sep-12,1440.900024,9.86,22.709999,29.76,31.459999,0.11
Oct-12,1412.199951,11.16,21.059999,28.540001,31.08,0.10
Nov-12,1416.339966,11.45,21.129999,26.620001,32.18,0.09
Dec-12,1426.189941,12.95,20.99,26.709999,33.32,0.07
Jan-13,1498.109985,12.95,22.280001,27.450001,35.509998,0.07
Feb-13,1514.680054,12.61,23.219999,27.799999,34.240002,0.10
Mar-13,1569.180054,13.15,23.120001,28.610001,32.330002,0.09
Apr-13,1597.550049,13.71,22.290001,33.099998,32.779999,0.06
May-13,1631.709961,15.68,23.32,34.900002,33.779999,0.04
Jun-13,1609.780029,15.47,23.190001,34.540001,30.709999,0.05
Jul-13,1689.420044,16.879999,24.370001,31.84,32.349998,0.04
Aug-13,1635.949951,16.190001,23.139999,33.400002,31.860001,0.04
Sep-13,1682.410034,16.870001,23.889999,33.279999,33.169998,0.02
Oct-13,1758.699951,17.110001,26.139999,35.41,33.5,0.05
Nov-13,1806.550049,17.08,26.66,38.130001,35.290001,0.07
Dec-13,1845.859985,15.43,28.030001,37.41,38.259998,0.07
Jan-14,1782.680054,14.96,25.129999,37.84,36.900002,0.04
Feb-14,1857.680054,15.39,25.469999,38.310001,39.110001,0.05
Mar-14,1873.959961,15.6,25.889999,40.990002,40.91,0.05
Apr-14,1884.390015,16.15,26.889999,40.400002,40.880001,0.03
May-14,1923.869995,16.440001,26.790001,40.939999,42.02,0.03
Jun-14,1962.290039,17.24,26.280001,41.700001,40.529999,0.04
Jul-14,1929.800049,17.02,25.15,43.16,40.389999,0.03
Aug-14,2004.069946,17.41,25.98,45.43,41.529999,0.03
Sep-14,1971.439941,14.79,25.620001,46.360001,38.279999,0.02
Oct-14,2018.209961,14.09,25.809999,46.950001,39.049999,0.02
Nov-14,2065.780029,15.73,26.49,47.810001,42.41,0.02
Dec-14,2058.899902,15.5,25.27,46.450001,44.970001,0.03
Jan-15,1996.670044,14.71,23.889999,40.400002,41.889999,0.03
Feb-15,2105.22998,16.34,25.99,43.849998,43.82,0.02
Mar-15,2067.629883,16.139999,24.809999,40.66,43.150002,0.03
Apr-15,2087.379883,15.8,27.08,48.639999,43.619999,0.02
May-15,2108.639893,15.17,27.27,46.860001,43.490002,0.02
Jun-15,2067,15.01,26.57,44.150002,40.299999,0.02
Jul-15,2104.48999,14.83,26.1,46.700001,39.939999,0.03
Aug-15,1970.089966,13.87,25.01,43.52,37.09,0.07
Sep-15,1919.650024,13.57,25.219999,44.259998,36.119999,0.02
Oct-15,2080.76001,14.81,28.92,52.639999,38.84,0.02
Nov-15,2082.929932,14.33,29.940001,54.349998,38.970001,0.13
Dec-15,2038.199951,14.09,31.15,55.48,36.529999,0.23
Jan-16,1936.939941,11.94,29.1,55.09,36.310001,0.26
Feb-16,1937.089966,12.51,29.139999,50.880001,36.779999,0.31
Mar-16,2056.620117,13.5,31.790001,55.23,40.91,0.30
Apr-16,2067.169922,13.56,30.75,49.869999,39.860001,0.23
May-16,2093.939941,13.49,30.23,53,40.200001,0.28
Jun-16,2099.340088,12.57,31.48,51.169998,40.93,0.27
Jul-16,2173.149902,12.66,31.139999,56.68,41.040001,0.30
Aug-16,2171.330078,12.6,31.24,57.459999,41.220001,0.30
Sep-16,2164.330078,12.07,29.620001,57.599998,39.279999,0.29
Oct-16,2128.679932,11.74,29.1,59.919998,38.419998,0.33
Nov-16,2200.169922,11.96,30.76,60.259998,40.189999,0.45
Dec-16,2251.570068,12.13,31.6,62.139999,38.450001,0.51
Jan-17,2285.590088,12.36,29.700001,64.650002,40.110001,0.52
Feb-17,2380.129883,12.53,29.809999,63.98,42.59,0.53
Mar-17,2362.340088,11.64,29.799999,65.860001,44.610001,0.75
Apr-17,2388.5,11.47,28.99,68.459999,44.959999,0.81
May-17,2415.649902,11.12,27.379999,69.839996,45.389999,0.90
Jun-17,2431.389893,11.19,27.01,68.93,50.139999,1.00
Jul-17,2477.100098,11.22,25.610001,72.699997,49.93,1.09
Aug-17,2474.419922,11.03,24.549999,74.769997,50.330002,1.03
Sep-17,2521.199951,11.97,24.18,74.489998,48.349998,1.05
Oct-17,2583.209961,12.27,20.16,83.18,50.900002,1.09
Nov-17,2645.100098,12.52,18.290001,84.169998,49.060001,1.25
Dec-17,2683.72998,12.49,17.450001,85.540001,47.279999,1.34
Jan-18,2816.449951,10.97,16.17,95.010002,51.59,1.43
Feb-18,2715.219971,10.61,14.11,93.769997,50.669998,1.59
